Date,Ridership
3/15/2024,6705
3/16/2024,4846
3/17/2024,3424
3/18/2024,6464
3/19/2024,7033
3/20/2024,7160
3/21/2024,6172
3/22/2024,3787
3/23/2024,4928
3/24/2024,2645
3/25/2024,7036
3/26/2024,7246
3/27/2024,7194
3/28/2024,6744
3/29/2024,6884
3/30/2024,4932
3/31/2024,2215
4/1/2024,6416
4/2/2024,7142
4/3/2024,7498
4/4/2024,7268
4/5/2024,7106
4/6/2024,4954
4/7/2024,2429
4/8/2024,6399
4/9/2024,6723
4/10/2024,6767
4/11/2024,6161
4/12/2024,6730
4/13/2024,5006
4/14/2024,2499
4/15/2024,6566
4/16/2024,6605
4/17/2024,6780
4/18/2024,6511
4/19/2024,6077
4/20/2024,4769
4/21/2024,2064
4/22/2024,6092
4/23/2024,6674
4/24/2024,6908
4/25/2024,5919
4/26/2024,6200
4/27/2024,4255
4/28/2024,1746
4/29/2024,5976
4/30/2024,6026
5/1/2024,6247
5/2/2024,6126
5/3/2024,6400
5/4/2024,4253
5/5/2024,2053
5/6/2024,6181
5/7/2024,6079
5/8/2024,6289
5/9/2024,6361
5/10/2024,6098
5/11/2024,4430
5/12/2024,1909
5/13/2024,5995
5/14/2024,5844
5/15/2024,5857
5/16/2024,5217
5/17/2024,6243
5/18/2024,4195
5/19/2024,1759
5/20/2024,5861
5/21/2024,5918
5/22/2024,6214
5/23/2024,6011
5/24/2024,5772
5/25/2024,4205
5/26/2024,1544
5/27/2024,0
5/28/2024,5641
5/29/2024,6002
5/30/2024,5913
5/31/2024,5658
6/1/2024,4192
6/2/2024,1665
6/3/2024,5365
6/4/2024,5787
6/5/2024,5523
6/6/2024,5485
6/7/2024,5680
6/8/2024,3813
6/9/2024,1650
6/10/2024,5432
6/11/2024,3537
6/12/2024,3822
6/13/2024,3970
6/14/2024,5243
6/15/2024,3778
6/16/2024,1630
6/17/2024,5619
6/18/2024,5754
6/19/2024,5534
6/20/2024,5559
6/21/2024,5554
6/22/2024,3555
6/23/2024,1751
